Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Apr 21 2023,SPX230421C04900000,237.04,0,112.2,115.5,0,0.1882,0.2697,0.0004,1000,4900.00,SPX230421P04900000,570.09,0,685.4,696.7,0,0.1488,-0.7332,0.0004,3
Fri Apr 21 2023,SPX230421C04925000,121.66,-20.49,104.7,107.9,2,0.1862,0.2581,0.0004,1,4925.00,SPX230421P04925000,582.81,0,702.1,713.5,0,0.1452,-0.7449,0.0004,1
Fri Apr 21 2023,SPX230421C04950000,113.83,-19.37,97.7,100.7,48,0.1846,0.2466,0.0004,217,4950.00,SPX230421P04950000,533.47,0,719.3,730.8,0,0.1416,-0.7563,0.0004,3
Fri Apr 21 2023,SPX230421C05000000,99.14,-17.56,84.8,87.6,3,0.181,0.2243,0.0004,70,5000.00,SPX230421P05000000,641.6,0,754.8,766.8,0,0.1337,-0.7786,0.0004,2
Fri Apr 21 2023,SPX230421C05050000,131.19,0,73.3,76.1,0,0.1778,0.2031,0.0004,12,5050.00,SPX230421P05050000,715.08,24.98,791.9,804.1,2,0.1246,-0.7999,0.0004,26
Fri Apr 21 2023,SPX230421C05100000,117.33,0,63.3,66,0,0.1749,0.183,0.0004,38,5100.00,SPX230421P05100000,710.26,0,830.5,843,0,0.1134,-0.8199,0.0004,2
Fri Apr 21 2023,SPX230421C05150000,99.61,0,54.5,57.3,0,0.1724,0.1642,0.0004,21,5150.00,SPX230421P05150000,745.37,0,870.4,883.3,0,0.0961,-0.8387,0.0004,2
Fri Apr 21 2023,SPX230421C05200000,74.34,0,47.1,49.8,0,0.1703,0.147,0.0003,44,5200.00,SPX230421P05200000,768.7,0,911.7,924.8,0,0.001,-0.856,0.0003,1
Fri Apr 21 2023,SPX230421C05300000,57.13,0,35.4,37.7,0,0.1671,0.1171,0.0003,59,5300.00,SPX230421P05300000,847.63,0,997.2,1011.1,0,0.001,-0.8858,0.0003,46
Fri Apr 21 2023,SPX230421C05400000,43.23,0,26.7,28.7,0,0.1653,0.0936,0.0002,6,5400.00,SPX230421P05400000,0,0,1085.9,1099.9,0,0.001,-0.9094,0.0002,0
Fri Apr 21 2023,SPX230421C05500000,36.99,0,20.3,22.1,0,0.1641,0.0756,0.0002,25,5500.00,SPX230421P05500000,0,0,1177,1190.6,0,0.001,-0.9274,0.0002,0
Fri Apr 21 2023,SPX230421C05600000,25.3,0,15.6,17.2,0,0.1637,0.0618,0.0002,2,5600.00,SPX230421P05600000,0,0,1269.7,1283.5,0,0.001,-0.9411,0.0002,0
Fri Apr 21 2023,SPX230421C05800000,15.6,0,9.6,11,0,0.1644,0.0426,0.0001,3,5800.00,SPX230421P05800000,1289,0,1458.4,1472.6,0,0,-0.9603,0.0001,0
Fri Apr 21 2023,SPX230421C06000000,16.5,0,6,7.4,0,0.1667,0.0299,0.0001,27,6000.00,SPX230421P06000000,0,0,1649.7,1664.2,0,0.02,-0.9731,0.0001,0
Fri Apr 21 2023,SPX230421C06200000,11.13,0,3.9,5.3,0,0.1693,0.0209,0.0001,1,6200.00,SPX230421P06200000,0,0,1842.5,1857.3,0,0.02,-0.982,0.0001,0
Fri Apr 21 2023,SPX230421C06400000,0,0,2.55,3.9,0,0.1731,0.0146,0,0,6400.00,SPX230421P06400000,0,0,2036.1,2051.1,0,0.02,-0.9884,0,0
Fri Apr 21 2023,SPX230421C06600000,0,0,1.65,2.85,0,0.1767,0.0101,0,0,6600.00,SPX230421P06600000,0,0,2230.2,2245.3,0,0.02,-0.9928,0,0
Fri Apr 21 2023,SPX230421C06800000,0,0,1.05,2.1,0,0.1805,0.007,0,0,6800.00,SPX230421P06800000,0,0,2424.6,2439.8,0,0.02,-0.9959,0,0
Fri Apr 21 2023,SPX230421C07000000,0,0,0.7,1.65,0,0.1843,0.0049,0,0,7000.00,SPX230421P07000000,0,0,2619.2,2634.5,0,0.02,-0.998,0,0
Fri Apr 21 2023,SPX230421C07200000,0,0,0.45,1.3,0,0.1878,0.0034,0,0,7200.00,SPX230421P07200000,2556.8,0,2813.9,2829.4,0,0.02,-0.9995,0,1
Fri Apr 21 2023,SPX230421C07400000,0,0,0.3,1.05,0,0.1921,0.0024,0,0,7400.00,SPX230421P07400000,2892.2,0,3008.8,3024.4,0,0.02,-1,0,11
